Date,DateID,Año,Trimestre,MesNumero,Month Name,MesNombreES,AñoMes,InicioDeMes,FinDeMes,Semestre,FiscalYear
2013-09-01,20130901,2013,Q3,9,September,Septiembre,2013-09,VERDADERO,FALSO,S2,FY2013
2013-09-02,20130902,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-03,20130903,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-04,20130904,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-05,20130905,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-06,20130906,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-07,20130907,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-08,20130908,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-09,20130909,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-10,20130910,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-11,20130911,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-12,20130912,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-13,20130913,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-14,20130914,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-15,20130915,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-16,20130916,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-17,20130917,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-18,20130918,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-19,20130919,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-20,20130920,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-21,20130921,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-22,20130922,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-23,20130923,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-24,20130924,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-25,20130925,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-26,20130926,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-27,20130927,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-28,20130928,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-29,20130929,2013,Q3,9,September,Septiembre,2013-09,FALSO,FALSO,S2,FY2013
2013-09-30,20130930,2013,Q3,9,September,Septiembre,2013-09,FALSO,VERDADERO,S2,FY2013
2013-10-01,20131001,2013,Q4,10,October,Octubre,2013-10,VERDADERO,FALSO,S2,FY2013
2013-10-02,20131002,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-03,20131003,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-04,20131004,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-05,20131005,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-06,20131006,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-07,20131007,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-08,20131008,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-09,20131009,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-10,20131010,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-11,20131011,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-12,20131012,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-13,20131013,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-14,20131014,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-15,20131015,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-16,20131016,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-17,20131017,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-18,20131018,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-19,20131019,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-20,20131020,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-21,20131021,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-22,20131022,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-23,20131023,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-24,20131024,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-25,20131025,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-26,20131026,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-27,20131027,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-28,20131028,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-29,20131029,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-30,20131030,2013,Q4,10,October,Octubre,2013-10,FALSO,FALSO,S2,FY2013
2013-10-31,20131031,2013,Q4,10,October,Octubre,2013-10,FALSO,VERDADERO,S2,FY2013
2013-11-01,20131101,2013,Q4,11,November,Noviembre,2013-11,VERDADERO,FALSO,S2,FY2013
2013-11-02,20131102,2013,Q4,11,November,Noviembre,2013-11,FALSO,FALSO,S2,FY2013
2013-11-03,20131103,2013,Q4,11,November,Noviembre,2013-11,FALSO,FALSO,S2,FY2013
2013-11-04,20131104,2013,Q4,11,November,Noviembre,2013-11,FALSO,FALSO,S2,FY2013
2013-11-05,20131105,2013,Q4,11,November,Noviembre,2013-11,FALSO,FALSO,S2,FY2013
2013-11-06,20131106,2013,Q4,11,November,Noviembre,2013-11,FALSO,FALSO,S2,FY2013
2013-11-07,20131107,2013,Q4,11,November,Noviembre,2013-11,FALSO,FALSO,S2,FY2013
2013-11-08,20131108,2013,Q4,11,November,Noviembre,2013-11,FALSO,FALSO,S2,FY2013
2013-11-09,20131109,2013,Q4,11,November,Noviembre,2013-11,FALSO,FALSO,S2,FY2013
